,Zipcode,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
260,94509,"68,166","4,712","4,409","4,972","4,931","4,856","4,760","5,293","4,687","4,381","3,816","4,891","4,329","3,977","3,085","1,839","1,254",891,"1,083"
261,94720,"2,845",0,0,12,"1,739",750,249,52,0,0,0,26,0,9,4,0,4,0,0
262,94523,"35,005","2,177","1,811","1,547","1,880","1,988","2,685","2,726","2,230","2,266","2,632","2,143","2,608","2,672","2,013","1,423",742,625,837
263,94548,377,31,32,42,23,0,53,32,33,0,49,16,15,33,18,0,0,0,0
264,94107,"31,461","1,358",880,944,678,"1,618","4,610","5,380","3,073","2,674","1,845","2,056","1,781","1,220","1,152",385,556,507,744
265,94703,"21,697","1,035",925,"1,137",970,"1,960","2,717","2,359","1,847","1,252","1,433","1,000","1,025","1,220","1,105",880,411,282,139
266,94158,"8,455",532,225,205,246,291,"1,024","1,919","1,214",998,325,444,264,115,194,246,105,0,108
267,94110,"72,380","4,060","3,048","2,414","1,807","3,001","8,629","9,369","7,900","6,584","5,768","4,483","4,026","3,638","2,550","1,904","1,224",963,"1,012"
268,94701,,,,,,,,,,,,,,,,,,,
269,94712,,,,,,,,,,,,,,,,,,,
270,94702,"16,860",900,911,860,646,804,"1,780","1,314","1,262","1,249","1,335","1,031","1,005",962,852,923,393,259,374
271,94709,"11,951",501,216,149,"1,048","2,340","1,992","1,261",662,557,235,507,483,476,560,456,226,94,188
272,94112,"84,707","3,600","4,047","3,703","3,691","4,843","7,181","6,578","5,275","6,103","6,404","6,481","6,024","6,152","5,025","3,131","2,347","1,890","2,232"
273,94015,"65,041","2,860","2,708","2,503","3,112","5,229","5,942","5,124","5,211","3,941","4,030","4,363","4,824","4,125","3,870","2,321","1,940","1,278","1,660"
274,94522,,,,,,,,,,,,,,,,,,,
275,94524,,,,,,,,,,,,,,,,,,,
276,94527,,,,,,,,,,,,,,,,,,,
277,94529,,,,,,,,,,,,,,,,,,,
278,94016,,,,,,,,,,,,,,,,,,,
279,94105,"10,916",729,267,0,38,744,"1,658","1,964","1,579","1,086",927,474,278,433,214,472,0,0,53
280,94519,"20,041","1,363","1,367",992,865,"1,000","1,652","1,663","1,633","1,007","1,221","1,287","1,594","1,322","1,153",668,317,619,318
281,95039,"1,074",42,109,155,40,110,31,52,95,127,45,45,39,37,32,75,26,11,3
282,94103,"30,703",867,"1,003",555,403,"1,962","4,612","4,738","3,123","1,961","2,380","2,485","1,601","1,335","1,245",749,741,417,526
283,94130,"3,008",34,81,92,455,794,352,249,279,116,107,104,111,177,21,32,4,0,0
284,94104,429,30,10,8,22,2,41,7,39,13,45,7,26,72,9,14,44,40,0
285,95358,"32,524","2,360","2,910","2,909","2,791","2,731","2,286","2,054","2,168","2,072","2,204","1,699","1,737","1,482","1,005",861,527,363,365
286,94017,,,,,,,,,,,,,,,,,,,
287,94131,"29,523","1,511","1,175","1,404",872,"1,014","2,576","2,813","2,651","2,608","2,189","2,015","1,824","2,053","1,754","1,100",709,513,742
288,94119,,,,,,,,,,,,,,,,,,,
289,94120,,,,,,,,,,,,,,,,,,,
290,94125,,,,,,,,,,,,,,,,,,,
291,94126,,,,,,,,,,,,,,,,,,,
292,94137,,,,,,,,,,,,,,,,,,,
293,94139,,,,,,,,,,,,,,,,,,,
294,94140,,,,,,,,,,,,,,,,,,,
295,94141,,,,,,,,,,,,,,,,,,,
296,94142,,,,,,,,,,,,,,,,,,,
297,94143,,,,,,,,,,,,,,,,,,,
298,94144,,,,,,,,,,,,,,,,,,,
299,94145,,,,,,,,,,,,,,,,,,,
300,94146,,,,,,,,,,,,,,,,,,,
301,94147,,,,,,,,,,,,,,,,,,,
302,94151,,,,,,,,,,,,,,,,,,,
303,94159,,,,,,,,,,,,,,,,,,,
304,94160,,,,,,,,,,,,,,,,,,,
305,94161,,,,,,,,,,,,,,,,,,,
306,94163,,,,,,,,,,,,,,,,,,,
307,94164,,,,,,,,,,,,,,,,,,,
308,94172,,,,,,,,,,,,,,,,,,,
309,94177,,,,,,,,,,,,,,,,,,,
310,94188,,,,,,,,,,,,,,,,,,,
311,94708,"11,394",574,539,600,452,379,514,523,558,798,671,698,825,"1,103","1,029",926,560,262,383
312,94710,"7,893",488,302,476,407,484,935,807,583,656,594,357,506,522,339,230,133,45,29
313,94565,"97,671","7,092","7,253","6,839","6,074","7,864","7,757","7,230","7,559","6,782","6,071","6,626","5,731","4,888","3,893","2,631","1,335","1,263",783
314,94127,"21,151","1,023","1,104","1,433",822,"1,057","1,155","1,037","1,578","1,385","1,933","1,172","1,661","1,418","1,120","1,154",901,570,628
315,94102,"31,392","1,331",574,616,807,"1,705","3,997","4,126","3,018","2,366","1,698","1,853","1,957","2,467","1,874",925,598,772,708
316,94111,"3,611",192,66,27,15,134,266,465,364,181,228,237,175,199,217,161,290,164,230
317,94108,"14,143",410,291,309,334,762,"1,879","1,800",867,858,983,910,785,780,985,580,435,633,542
318,94114,"34,918","1,747","1,132",803,466,"1,114","3,899","4,762","3,993","2,958","2,632","2,718","2,227","1,762","1,663","1,229",740,462,611
319,95234,,,,,,,,,,,,,,,,,,,
320,94707,"11,767",405,736,568,430,416,490,454,447,682,849,875,987,826,"1,119",906,675,484,418
321,94706,"21,218","1,542","1,460","1,560","1,183",913,"1,699","1,549","1,730","1,874","1,774","1,434",954,962,"1,042",731,377,234,200
322,94117,"44,650","2,056","1,264",819,"2,785","2,136","7,609","7,784","3,912","3,373","3,382","2,280","1,825","1,421","1,341",934,794,566,369
323,94109,"57,302","1,501",728,674,"1,115","2,966","9,219","10,212","5,680","3,084","3,422","2,724","3,131","3,231","2,362","2,131","1,696","1,513","1,913"
324,94520,"38,753","2,818","2,446","2,193","2,198","2,619","3,727","3,463","3,286","2,759","2,343","2,493","2,307","1,993","1,602","1,168",612,491,235
325,94132,"31,436",878,"1,013",939,"4,153","4,252","3,296","1,830","2,040","1,625","1,627","1,572","1,431","1,856","1,547","1,014",754,690,919
326,94115,"34,604","1,489","1,097","1,180",808,"1,751","5,241","4,339","3,536","2,249","2,040","2,009","1,583","1,532","1,461","1,804","1,167",593,725
327,94133,"26,796",839,511,997,447,"1,229","3,071","3,499","1,877","1,744","1,702","1,343","1,433","2,066","1,619","1,270",907,864,"1,378"
328,95045,"4,217",276,240,230,220,238,192,222,212,218,269,349,275,380,411,98,202,83,102
329,94553,"49,784","3,196","2,259","2,841","3,001","2,902","2,833","3,417","3,315","3,344","3,354","3,774","4,093","3,770","2,940","1,732","1,332",832,849
330,95206,"64,250","4,774","5,480","6,300","5,673","4,878","4,317","4,248","4,321","4,298","4,170","3,451","3,466","2,962","2,002","1,724",773,753,660
331,94116,"47,346","2,186","2,086","2,126","1,767","2,322","4,138","3,343","3,227","2,923","3,542","3,402","2,981","3,281","3,248","2,280","1,705","1,079","1,710"
332,95231,"5,165",209,183,294,373,499,619,571,435,417,268,356,212,236,146,92,95,62,98
333,94123,"25,890","1,166",563,685,374,"1,393","4,935","4,687","2,728","1,416","1,542","1,317",785,995,922,763,703,315,601
334,94530,"26,145","1,674","1,192","1,267",869,"1,179","1,725","1,995","2,351","1,672","1,827","1,698","1,817","1,712","1,662","1,161",784,802,758
335,95313,"1,305",10,120,166,79,27,108,137,94,33,74,91,147,84,47,23,16,7,42
336,94118,"42,095","2,083","1,688","1,403","1,056","2,765","5,431","4,863","3,763","2,624","2,772","2,058","2,217","2,644","1,934","1,727","1,112",890,"1,065"
337,94122,"62,128","3,188","2,374","2,037","1,795","3,123","7,405","6,659","5,665","3,788","4,202","4,443","3,712","3,526","3,786","2,364","1,498",888,"1,675"
338,95208,,,,,,,,,,,,,,,,,,,
339,94129,"4,136",236,219,230,217,486,676,474,410,227,292,260,197,66,80,31,14,0,21
340,95366,"17,909","1,163","1,247","1,318","1,377","1,014","1,157",751,984,"1,321","1,010","1,304","1,356","1,029","1,089",651,409,253,476
341,95012,"10,780","1,183","1,147","1,111",522,"1,004","1,109",820,494,828,626,339,382,374,237,228,95,81,200
342,95336,"47,855","3,138","3,527","3,483","3,124","3,006","3,122","3,028","2,901","3,100","2,806","3,494","3,013","2,660","2,266","1,831","1,538",923,895
343,94121,"43,616","2,253","1,556","1,790","1,371","2,196","4,163","3,491","3,407","3,055","2,701","3,222","2,983","3,124","2,730","1,794","1,130","1,098","1,552"
344,95368,"14,041",926,"1,093","1,116","1,437","1,016","1,521",884,957,"1,024",750,725,904,604,361,404,203,68,48
345,94511,"2,161",59,127,136,41,202,161,134,148,66,102,100,274,119,105,147,113,115,12
346,94804,"40,931","2,783","3,015","2,228","2,439","2,775","3,411","4,232","2,605","2,565","3,152","2,435","2,209","2,220","1,768","1,242",698,567,587
347,94805,"14,188",711,792,626,613,585,"1,238","1,274","1,105","1,090",809,"1,307",818,987,793,563,433,204,240
348,94803,"25,893","1,116","1,491","1,114","1,282","1,513","1,827","1,298","1,833","1,768","1,732","2,166","2,105","1,863","1,931","1,309",613,321,611
349,94561,"42,473","3,201","3,327","3,811","3,579","2,919","2,613","2,547","2,988","2,995","3,106","2,681","2,472","2,276","1,665","1,174",621,236,262
350,95203,"15,487","1,162","1,246",856,"1,004","1,152","1,360","1,118","1,120","1,121",757,798,"1,144",866,620,487,302,228,146
351,95024,,,,,,,,,,,,,,,,,,,
352,94802,,,,,,,,,,,,,,,,,,,
353,94808,,,,,,,,,,,,,,,,,,,
354,94850,,,,,,,,,,,,,,,,,,,
355,93907,"23,299","1,118",990,"1,850","1,788","1,471","1,249","1,415","1,385","1,375","1,593","1,530","1,870","1,700","1,575","1,068",625,346,351
356,95219,"29,270","2,127","2,191","2,099","1,731","1,426","2,101","2,136","1,746","2,079","1,742","1,832","1,651","1,883","1,493","1,190",963,496,384
357,94820,,,,,,,,,,,,,,,,,,,
358,95204,"28,667","1,570","1,770","2,085","1,708","1,709","2,506","2,196","1,943","1,269","1,720","1,996","1,521","1,807","1,660","1,205",806,536,660
359,94807,,,,,,,,,,,,,,,,,,,
360,95267,,,,,,,,,,,,,,,,,,,
361,95269,,,,,,,,,,,,,,,,,,,
362,95296,,,,,,,,,,,,,,,,,,,
363,95297,,,,,,,,,,,,,,,,,,,
364,95201,,,,,,,,,,,,,,,,,,,
365,94564,"19,260",879,977,"1,000",719,945,"1,484","1,737","1,249",920,"1,139","1,395","1,606","1,379","1,353",913,692,342,531
366,95202,"6,066",378,545,315,323,319,586,339,303,304,288,475,355,400,464,215,163,149,145
367,95350,"54,210","4,129","3,659","3,352","2,966","3,750","4,125","3,905","3,264","2,950","2,960","3,199","3,761","3,135","2,712","2,386","1,448","1,324","1,185"
368,95356,"32,622","1,978","2,275","2,325","1,942","1,775","2,698","2,209","2,064","1,816","1,927","2,094","2,595","1,912","1,608","1,284",755,560,805
369,94547,"25,616","1,089","1,333","1,847","1,178","1,743","1,488","1,895","1,679","1,850","1,405","2,207","1,976","2,046","1,460","1,236",637,306,241
370,95211,"1,624",0,0,0,"1,044",563,17,0,0,0,0,0,0,0,0,0,0,0,0
371,94966,,,,,,,,,,,,,,,,,,,
372,95397,,,,,,,,,,,,,,,,,,,
373,95352,,,,,,,,,,,,,,,,,,,
374,95353,,,,,,,,,,,,,,,,,,,
375,94569,,,,,,,,,,,,,,,,,,,
376,95307,"46,283","3,824","3,765","4,310","3,821","3,498","3,532","3,593","2,726","3,074","2,781","2,437","2,287","1,892","1,236","1,366",861,737,543
377,94920,"12,740",344,697,"1,071",797,189,384,255,560,739,"1,094","1,162","1,000",981,"1,051",834,716,545,321
378,94806,"64,286","3,580","4,185","3,912","4,779","5,259","4,874","5,267","4,650","4,408","4,766","3,980","3,823","3,291","2,549","1,691","1,305","1,007",960
379,95351,"48,542","4,448","4,378","4,343","3,488","3,903","4,205","3,513","2,913","2,566","2,700","2,825","2,710","1,786","1,492","1,330",897,416,629
380,94572,"10,384",612,792,490,628,827,844,655,908,606,580,723,773,551,413,351,246,136,249
381,95205,"38,350","3,618","4,015","2,915","2,501","3,713","2,780","3,182","2,844","1,845","2,371","2,343","1,714","1,260","1,112",970,414,416,337
382,95207,"52,269","3,938","3,932","3,525","3,484","4,317","4,941","3,916","3,090","2,615","2,630","2,796","2,358","2,836","2,221","1,707","1,748",925,"1,290"
383,94801,"31,210","2,170","2,690","2,356","1,904","2,365","2,599","2,487","2,463","2,178","1,832","2,099","1,354","1,372","1,398",838,547,287,271
384,95354,"24,923","2,052","1,906","1,800","1,394","1,383","2,139","2,349","1,547","1,395","1,291","1,632","1,508","1,395","1,260",923,398,321,230
385,94512,,,,,,,,,,,,,,,,,,,
386,95213,,,,,,,,,,,,,,,,,,,
387,94525,"3,290",138,127,124,179,137,175,202,276,195,171,273,373,406,197,161,39,48,69
388,94965,"11,394",486,542,497,313,132,654,754,616,755,700,"1,028",985,"1,107",798,870,649,314,194
389,93906,"64,348","5,059","4,797","5,691","5,009","4,932","4,596","5,174","4,926","4,203","3,845","3,767","3,299","2,967","2,132","1,522",823,718,888
390,94510,"28,350","1,294","1,519","1,762","1,679","1,083","1,448","1,171","1,600","2,142","1,823","2,277","2,432","2,468","2,129","1,436",867,605,615
391,95322,"10,373",658,829,851,877,567,603,779,619,779,694,579,436,783,514,334,178,119,174
